text,iso_code,language_name,source,usage
然而，這樣的處理也衍生了一些問題。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
自從2004年提出了興建人文大樓的構想，企業界陸續有人提供捐款。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
杜鵑花為溫帶植物，台北雖然在亞熱帶，但冬季的東北季風卻使得杜鵑花在臺大宜然自得。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
臺大醫學人文博物館是一棟兩層樓的建築，沿中山南路與仁愛路成L型。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
樓頂有天文台，現為天文社使用。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
國際北極研究中心的主要夥伴是日本和美國，參與會務的還有來自加拿大、中國、丹麥、德國、日本、挪威、俄羅斯、英國和美國的代表。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
其中參賽者年齡不可超過18歲（以當年7月1日為準），且必須就讀於中學校（Secondary School）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
同年9月7日，亞奧理事會主席薩巴赫親王為國際射擊中心主持銅像揭幕儀式。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
這些電話經交換機處理，使用的媒介包括海底電纜、人造衛星、無線電、光纖及IP電話（VOIP）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
《圓月彎刀》為古龍晚期作品，1976年6月至1978年5月，香港〈武俠春秋〉282至348期斷續連載，原名《刀神》，1978年漢麟出版改名《圓月彎刀》。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
圓齒龍（Globidens）意為「球狀牙齒」，是滄龍科的一個屬。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
圖波列夫設計局在1960年代末期推出圖-154客機後，圖波列夫便成為社會主義國家民航飛機的主要供應商。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
事實上，團購網站的產品原價和購買數量經常被「注水」，而產品和服務的品質則經常「縮水」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
團購網站的主要產品分為家居類、日用品類、旅遊優惠、機票、酒店及郵輪等。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
可是，魔牛肝菌的菌肉在被切割或撞傷後會變成藍色的，而這種菌的菌肉無論如何都是白色的，因此透過切割菌肉便能分辨二者。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
站牌上標示著「浪漫和傳奇的入野松原」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
自然界的土是由岩石經風化、搬運、堆積而形成的。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
毛澤東早在1949年3月中共七屆二中全會的報告中就明確地說：「占國民經濟總產值90%的分散的個體的農業經濟和手工業經濟，是可能和必須謹慎地、逐步地而又積極地引導它們向著現代化和集體化的方向發展的，任其自流的觀點是錯誤的。」,zh,Chinese,Universal Dependencies Treebanks,preprocessing
它主要分布在表土層或耕層中，深受耕作施肥等人為因素的影響而極不穩定。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
土壤是重要的自然資源和生產資料，土壤的植物生產能力是衡量土壤資源質量的標誌。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
一些土星1號儀錶組中的部分也被用在土星1B中了。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
它在位於亨茨維爾的空間系統中心建造。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
這個計算機控制了火箭從起飛前一直到拋棄S-IVB推進器的操作過程。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
2007年7月6日，聖喬治教堂被馬來西亞政府列為50個馬來西亞國家寶藏之一。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
聖伯多祿堂（Iglesia de San Pedro）是西班牙南部城市科爾多瓦的一座羅馬天主教教堂，供奉聖伯多祿，位於同名的廣場上。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
該市鎮總面積11.61平方公里，2009年時的人口為323人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
該市鎮總面積38.28平方公里，2009年時的人口為696人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
總面積14平方公里，人口268人，人口密度19.1人/平方公里（2009年）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
該市鎮總面積28.59平方公里，2009年時的人口為617人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
除了在1900年到1950年間人口上升了大約25%，在此後人口一直下降，現在聖奧斯瓦爾德鄉的居民總數比2005年還要少大約35%。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
2007年，教堂完成了主體大修工程，工程包括內部結構的調整。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1907年到1911年，教堂立面改建為目前的巴伐利亞巴洛克式。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
該市鎮總面積16.71平方公里，2009年時的人口為2070人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
島嶼長度約為11公里，寬度6公里。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
該島還設有8個網球場和1個環繞安娜費雷拉峰的馬術中心。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
翻譯時，除使用原文外，參考的考古文獻則多以法、德兩文記載和教會用的拉丁文。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
後來他重回橋樑道路學院教學，並繼續他的研究工作。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
最古老的是安德里亞·皮薩諾的作品，作於1330年到1336年。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
該市鎮總面積2.92平方公里，2009年時的人口為1097人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1914年，政府允諾減少在南非對印度人的歧視。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
但是甘地更相信尼赫魯能建立保障印度人民自由的政府。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
在艾哈邁達巴德建立了Sabarmati Ashram（高僧修行所），還有報紙「年輕的印度」（Young India）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
