text,iso_code,language_name,source,usage,detected_script,cleaned_text
然而，這樣的處理也衍生了一些問題。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"然 而 , 這 樣 的 處 理 也 衍 生 了 一 些 問 題 。"
自從2004年提出了興建人文大樓的構想，企業界陸續有人提供捐款。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"自 從 年 提 出 了 興 建 人 文 大 樓 的 構 想 , 企 業 界 陸 續 有 人 提 供 捐 款 。"
杜鵑花為溫帶植物，台北雖然在亞熱帶，但冬季的東北季風卻使得杜鵑花在臺大宜然自得。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"杜 鵑 花 為 溫 帶 植 物 , 台 北 雖 然 在 亞 熱 帶 , 但 冬 季 的 東 北 季 風 卻 使 得 杜 鵑 花 在 臺 大 宜 然 自 得 。"
臺大醫學人文博物館是一棟兩層樓的建築，沿中山南路與仁愛路成L型。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"臺 大 醫 學 人 文 博 物 館 是 一 棟 兩 層 樓 的 建 築 , 沿 中 山 南 路 與 仁 愛 路 成 L 型 。"
樓頂有天文台，現為天文社使用。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"樓 頂 有 天 文 台 , 現 為 天 文 社 使 用 。"
國際北極研究中心的主要夥伴是日本和美國，參與會務的還有來自加拿大、中國、丹麥、德國、日本、挪威、俄羅斯、英國和美國的代表。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"國 際 北 極 研 究 中 心 的 主 要 夥 伴 是 日 本 和 美 國 , 參 與 會 務 的 還 有 來 自 加 拿 大 、 中 國 、 丹 麥 、 德 國 、 日 本 、 挪 威 、 俄 羅 斯 、 英 國 和 美 國 的 代 表 。"
其中參賽者年齡不可超過18歲（以當年7月1日為準），且必須就讀於中學校（Secondary School）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"其 中 參 賽 者 年 齡 不 可 超 過 歲 ( 以 當 年 月 日 為 準 ) , 且 必 須 就 讀 於 中 學 校 ( S e c o n d a r y S c h o o l ) 。"
同年9月7日，亞奧理事會主席薩巴赫親王為國際射擊中心主持銅像揭幕儀式。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"同 年 月 日 , 亞 奧 理 事 會 主 席 薩 巴 赫 親 王 為 國 際 射 擊 中 心 主 持 銅 像 揭 幕 儀 式 。"
這些電話經交換機處理，使用的媒介包括海底電纜、人造衛星、無線電、光纖及IP電話（VOIP）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"這 些 電 話 經 交 換 機 處 理 , 使 用 的 媒 介 包 括 海 底 電 纜 、 人 造 衛 星 、 無 線 電 、 光 纖 及 I P 電 話 ( V O I P ) 。"
《圓月彎刀》為古龍晚期作品，1976年6月至1978年5月，香港〈武俠春秋〉282至348期斷續連載，原名《刀神》，1978年漢麟出版改名《圓月彎刀》。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"《 圓 月 彎 刀 》 為 古 龍 晚 期 作 品 , 年 月 至 年 月 , 香 港 〈 武 俠 春 秋 〉 至 期 斷 續 連 載 , 原 名 《 刀 神 》 , 年 漢 麟 出 版 改 名 《 圓 月 彎 刀 》 。"
圓齒龍（Globidens）意為「球狀牙齒」，是滄龍科的一個屬。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"圓 齒 龍 ( G l o b i d e n s ) 意 為 「 球 狀 牙 齒 」 , 是 滄 龍 科 的 一 個 屬 。"
